,,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,MSZoning_E,Alley_E,LotShape_E,LandContour_E,LotConfig_E,Neighborhood_E,Condition1_E,Condition2_E,BldgType_E,HouseStyle_E,RoofStyle_E,RoofMatl_E,Exterior1st_E,MasVnrType_E,ExterQual_E,ExterCond_E,Foundation_E,BsmtQual_E,BsmtCond_E,BsmtExposure_E,BsmtFinType1_E,BsmtFinType2_E,Heating_E,HeatingQC_E,CentralAir_E,Electrical_E,KitchenQual_E,Functional_E,FireplaceQu_E,GarageType_E,GarageFinish_E,GarageQual_E,PavedDrive_E,PoolQC_E,Fence_E,SaleType_E,SaleCondition_E,MSSubClass_E,EnclosedPorch_0,BsmtFinSF2_0,LowQualFinSF_0,WoodDeckSF_0,Fireplaces_0,3SsnPorch_0,PoolArea_0,MiscVal_0,ScreenPorch_0,OpenPorchSF_0,BsmtUnfSF_0,GarageArea_0,2ndFlrSF_0,TotalBsmtSF_0,MasVnrArea_0,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,GarageArea_bin
train,0,8450,7,5,7.602900462204755,2003,196.0,6.561030665896573,6.75343791859778,6.75343791859778,6.75110146893676,7.444833273892193,1.0,2,1,3,1,8,548.0,4.0,3.0,1.0,2.0,1.0,17.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,3.0,3.0,4.0,6.0,4.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,2.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,15.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,11.4,16.5,17.0,16.333333333333332,27.0,12.5,2
train,1,9600,6,8,7.589335823170617,1976,0.0,6.88653164253051,7.141245122350491,7.141245122350491,0.0,7.141245122350491,0.0,2,0,3,1,6,460.0,4.0,3.0,1.0,2.0,2.0,21.0,3.0,5.0,5.0,6.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,2.0,6.0,2.0,7.0,4.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,11.4,7.25,7.75,14.666666666666666,14.0,11.0,2
train,2,11250,7,5,7.601901959875166,2002,162.0,6.18826412308259,6.825460036255307,6.825460036255307,6.7650389767805414,7.488293515159428,1.0,2,1,3,1,6,608.0,4.0,3.0,2.0,2.0,1.0,17.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,3.0,3.0,4.0,6.0,4.0,4.0,3.0,7.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,4.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,15.0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,11.4,16.5,17.0,15.333333333333334,27.0,12.5,2
train,3,9550,7,5,7.557994958530806,1970,0.0,5.37989735354046,6.6293632534374485,6.8690144506657065,6.6293632534374485,7.4489161025442,1.0,1,0,3,1,7,642.0,4.0,3.0,2.0,2.0,3.0,18.0,5.0,5.0,5.0,7.0,2.0,3.0,6.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,6.0,6.0,4.0,2.0,6.0,3.0,7.0,5.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,2.0,10.0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,11.4,16.5,17.0,14.666666666666666,27.0,12.5,2
train,4,14260,8,5,7.601402334583733,2000,350.0,6.486160788944089,7.044032897274685,7.044032897274685,6.960347729101308,7.695757990554761,1.0,2,1,4,1,9,836.0,4.0,3.0,2.0,2.0,2.0,25.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,3.0,3.0,4.0,6.0,4.0,4.0,4.0,7.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,4.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,15.0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,14.1,16.5,17.0,22.666666666666668,27.0,17.5,3
train,5,14115,5,5,7.597897950521784,1995,0.0,6.597145701886651,6.680854678790215,6.680854678790215,6.340359303727752,7.217443431696533,1.0,1,1,1,1,5,480.0,4.0,3.0,2.0,2.0,1.0,12.0,5.0,5.0,5.0,3.0,2.0,3.0,12.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,6.0,2.0,7.0,2.0,6.0,2.0,4.0,3.0,1.0,3.0,5.0,5.0,7.0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,11.4,7.25,7.75,16.333333333333332,14.0,11.0,2
train,6,10084,8,5,7.60339933974067,2005,186.0,7.222566018822171,7.430707082545968,7.43543801981455,0.0,7.43543801981455,1.0,2,0,3,1,7,636.0,4.0,3.0,1.0,2.0,1.0,20.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,5.0,4.0,4.0,7.0,6.0,6.0,5.0,2.0,6.0,3.0,7.0,5.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,12.0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,11.4,16.5,17.0,16.666666666666668,27.0,12.5,2
train,7,10382,7,6,7.587817219993427,1973,240.0,6.756932389247553,7.010311867307229,7.010311867307229,6.891625897052253,7.645397699428633,1.0,2,1,3,1,7,484.0,4.0,3.0,2.0,2.0,3.0,14.0,8.0,5.0,5.0,7.0,2.0,3.0,9.0,5.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,6.0,5.0,2.0,6.0,2.0,7.0,4.0,6.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,15.0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,11.4,7.25,7.75,12.0,23.0,9.0,2
train,8,6120,7,5,7.566311014772463,1950,0.0,0.0,6.859614903654202,6.930494765951626,6.6240652277998935,7.4815557019095165,0.0,2,0,2,2,8,468.0,2.0,3.0,1.0,2.0,1.0,6.0,1.0,5.0,5.0,3.0,2.0,3.0,11.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,5.0,5.0,2.0,7.0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,8.7,10.5,11.5,15.0,16.0,9.5,2
train,9,7420,5,6,7.570443252057374,1950,0.0,6.747586526829315,6.899723107284872,6.982862751468942,0.0,6.982862751468942,1.0,1,0,2,2,5,205.0,4.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,6.0,2.0,7.0,4.0,6.0,3.0,5.0,3.0,1.0,5.0,5.0,5.0,4.0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,6.7,5.75,6.25,7.0,14.0,3.5,1
